Short Name,Long Name,Global ID
474,BG.Zuid.360,1EcnkFUEX4Ghhefn8c671o
475,BG.Zuid.380,1EcnkFUEX4Ghhefn8c671r
476,BG.Zuid.390,1EcnkFUEX4Ghhefn8c671q
477,BG.Zuid.400,1EcnkFUEX4Ghhefn8c671t
478,BG.Zuid.430,1EcnkFUEX4Ghhefn8c671s
479,BG.Zuid.440,1EcnkFUEX4Ghhefn8c671f
480,BG.Zuid.460,1EcnkFUEX4Ghhefn8c671e
481,BG.Zuid.480,1EcnkFUEX4Ghhefn8c671h
482,BG.Zuid.801,1EcnkFUEX4Ghhefn8c671g
483,BG.Zuid.802,1EcnkFUEX4Ghhefn8c671j
484,BG.Zuid.805,1EcnkFUEX4Ghhefn8c671i
485,BG.Zuid.806,1EcnkFUEX4Ghhefn8c671l
486,BG.Zuid.807,1EcnkFUEX4Ghhefn8c671k
487,BG.zuid.808,1EcnkFUEX4Ghhefn8c671X
488,BG.Zuid.851,1EcnkFUEX4Ghhefn8c671W
489,BG.Zuid.852,1EcnkFUEX4Ghhefn8c671Z
490,BG.Zuid.853,1EcnkFUEX4Ghhefn8c671Y
491,BG.Zuid.854,1EcnkFUEX4Ghhefn8c671b
493,BG.Zuid.901,1EcnkFUEX4Ghhefn8c671d
494,BG.Zuid.902,1EcnkFUEX4Ghhefn8c671c
495,BG.Zuid.903,1EcnkFUEX4Ghhefn8c670P
496,BG.Zuid.904,1EcnkFUEX4Ghhefn8c670O
497,BG+ west 610,1EcnkFUEX4Ghhefn8c670R
498,BG+.Mid.030,1EcnkFUEX4Ghhefn8c670Q
499,BG+.Mid.120,1EcnkFUEX4Ghhefn8c670T
502,BG+.Oost.010,1EcnkFUEX4Ghhefn8c670U
503,BG+.Oost.030,1EcnkFUEX4Ghhefn8c670H
504,BG+.Oost.040,1EcnkFUEX4Ghhefn8c670G
505,BG+.Oost.050,1EcnkFUEX4Ghhefn8c670J
506,BG+.Oost.060,1EcnkFUEX4Ghhefn8c670I
